Date,Bitcoin_Value Prediction_NN ($)
7/31/23 23:59,76416.27826
8/1/23 23:59,76047.71552
8/2/23 23:59,76088.13096
8/3/23 23:59,77983.34348
8/4/23 23:59,77436.73797
8/5/23 23:59,77938.89361
8/6/23 23:59,78129.56996
8/7/23 23:59,77801.52471
8/8/23 23:59,76493.89883
8/9/23 23:59,76381.12559
8/10/23 23:59,76967.7887
8/11/23 23:59,76756.12256
8/12/23 23:59,75970.88417
8/13/23 23:59,72649.83542
8/14/23 23:59,71542.86173
8/15/23 23:59,71851.3952
8/16/23 23:59,72147.6966
8/17/23 23:59,71762.28653
8/18/23 23:59,71862.29607
8/19/23 23:59,71475.15334
8/20/23 23:59,68984.20847
8/21/23 23:59,66637.30089
8/22/23 23:59,64276.041
8/23/23 23:59,64120.75582
8/24/23 23:59,66333.22824
8/25/23 23:59,66642.01402
8/26/23 23:59,67278.05447
8/27/23 23:59,68426.08969
8/28/23 23:59,67184.06287
8/29/23 23:59,65668.90005
8/30/23 23:59,66374.2269
8/31/23 23:59,65696.73249
9/1/23 23:59,64788.46809
9/2/23 23:59,64801.97206
9/3/23 23:59,63896.0545
9/4/23 23:59,64659.24698
9/5/23 23:59,65223.70541
9/6/23 23:59,64540.49556
9/7/23 23:59,61160.08892
9/8/23 23:59,56066.30774
9/9/23 23:59,55756.14258
9/10/23 23:59,57518.00697
9/11/23 23:59,59788.05493
9/12/23 23:59,59088.74692
9/13/23 23:59,58637.74492
9/14/23 23:59,57512.57822
9/15/23 23:59,55933.29021
9/16/23 23:59,55104.42701
9/17/23 23:59,50050.49184
9/18/23 23:59,40653.34877
9/19/23 23:59,41747.26011
9/20/23 23:59,43218.32581
9/21/23 23:59,41757.87618
9/22/23 23:59,42359.1013
9/23/23 23:59,43642.52273
9/24/23 23:59,43086.81659
9/25/23 23:59,45011.94213
9/26/23 23:59,47556.40172
9/27/23 23:59,47144.36952
9/28/23 23:59,49156.87896
9/29/23 23:59,51177.2821
9/30/23 23:59,57709.4093
10/1/23 23:59,54032.06321
10/2/23 23:59,50497.28987
10/3/23 23:59,47053.21954
10/4/23 23:59,48182.73609
10/5/23 23:59,46140.49186
10/6/23 23:59,45567.21914
10/7/23 23:59,47730.83754
10/8/23 23:59,48249.48334
